Region name ,Local Authority Code,Local authority name,cx,cy,Year,Median House Price,Median House Earnings,Affordability Ratio
London,E09000001,City of London,-1.173739703,53.17095784,2011,455000,52537,8.66
London,E09000002,Barking and Dagenham,-0.91989131,53.12402029,2011,170000,25915,6.56
London,E09000003,Barnet,-1.037443181,52.90065362,2011,327000,32490,10.06
London,E09000004,Bexley,-1.27610071,51.95856152,2011,217000,32041,6.77
London,E09000005,Brent,-1.241704101,51.75474979,2011,300000,26808,11.19
London,E09000006,Bromley,-1.071041234,51.63382565,2011,275000,34111,8.06
London,E09000007,Camden,-1.440861855,51.63425356,2011,490000,35110,13.96
London,E09000008,Croydon,-1.506881793,51.83767299,2011,219998,30268,7.27
London,E09000009,Ealing,-2.544350678,51.20284921,2011,286000,30366,9.42
London,E09000010,Enfield,-2.953262913,51.18488562,2011,240000,29041,8.26
London,E09000011,Greenwich,-2.709901213,50.98792153,2011,249999,30603,8.17
London,E09000012,Hackney,-1.980491882,52.71241859,2011,295000,32034,9.21
London,E09000013,Hammersmith and Fulham,-1.81201615,52.86308344,2011,460000,35087,13.11
London,E09000014,Haringey,-1.804757128,52.68787378,2011,303000,30407,9.96
London,E09000015,Harrow,-2.317909601,52.99374399,2011,295000,31006,9.51
London,E09000016,Havering,-2.176525036,52.62500287,2011,219995,30193,7.29
London,E09000017,Hillingdon,-2.176191074,52.84820474,2011,250000,30734,8.13
London,E09000018,Hounslow,-1.981587362,53.07915595,2011,250000,29236,8.55
London,E09000019,Islington,-1.676701947,52.6262752,2011,405000,36241,11.18
London,E09000020,Kensington and Chelsea,0.914959047,52.05074378,2011,782580,47492,16.48
London,E09000021,Kingston upon Thames,1.159292255,52.05520695,2011,300000,34898,8.6
London,E09000022,Lambeth,1.092631373,52.24679544,2011,305000,34079,8.95
London,E09000023,Lewisham,-0.39198564,51.35716789,2011,237000,29332,8.08
London,E09000024,Merton,-0.261601077,51.33938795,2011,295000,33037,8.93
London,E09000025,Newham,-0.562222705,51.24797863,2011,215000,26489,8.12
London,E09000026,Redbridge,-0.32564805,51.2121891,2011,250000,32202,7.76
London,E09000027,Richmond upon Thames,-0.19181452,51.25334988,2011,420000,41136,10.21
London,E09000028,Southwark,-0.540821274,51.393303,2011,323000,33340,9.69
London,E09000029,Sutton,-0.467453203,51.42443395,2011,235000,29363,8
London,E09000030,Tower Hamlets,-0.671211347,51.3433395,2011,300000,33805,8.87
London,E09000031,Waltham Forest,-0.043495129,51.22696644,2011,230000,27017,8.51
London,E09000032,Wandsworth,-0.633469278,51.15013356,2011,389500,36606,10.64
London,E09000033,Westminster,-0.560499564,51.31452608,2011,610000,41815,14.59
South East,E06000035,Medway,-1.627622745,52.54712328,2011,150000,28155,5.33
South East,E06000036,Bracknell Forest,-1.475538461,52.50109525,2011,220750,30033,7.35
South East,E06000037,West Berkshire,-1.32820046,52.38445519,2011,247200,30000,8.24
South East,E06000038,Reading,-1.622627172,52.17861308,2011,190000,28354,6.7
South East,E06000039,Slough,-1.58320889,52.31016755,2011,190000,26780,7.09
South East,E06000040,Windsor and Maidenhead,-0.298974066,50.8437563,2011,327250,37451,8.74
South East,E06000041,Wokingham,-0.568039098,50.84056369,2011,275000,36456,7.54
South East,E06000042,Milton Keynes,-0.742537073,50.93730724,2011,177000,28299,6.25
South East,E06000043,Brighton and Hove,-0.182070165,51.12556003,2011,240000,28019,8.57
South East,E06000044,Portsmouth,-0.36700229,50.9934095,2011,149000,24299,6.13
South East,E06000045,Southampton,-0.127444733,51.02046572,2011,161250,23743,6.79
South East,E06000046,Isle of Wight,-0.396273284,50.82872755,2011,170000,23886,7.12
South East,E06000060,Buckinghamshire,-2.016741484,52.36216772,2011,270000,33045,8.17
South East,E07000061,Eastbourne,-2.346178432,52.18309464,2011,175000,23496,7.45
South East,E07000062,Hastings,-1.951203011,52.28226014,2011,148000,22410,6.6
South East,E07000063,Lewes,-2.210907183,52.1962851,2011,230000,27967,8.22
South East,E07000064,Rother,-2.051236204,52.16495473,2011,215000,25416,8.46
South East,E07000065,Wealden,-2.275643567,52.37964859,2011,234000,29494,7.93
South East,E07000084,Basingstoke and Deane,-0.342835545,51.77235326,2011,210000,29598,7.1
South East,E07000085,East Hampshire,-0.194360481,51.76773796,2011,265000,30191,8.78
South East,E07000086,Eastleigh,-0.00870922,51.86504088,2011,199995,27664,7.23
South East,E07000087,Fareham,-0.190778925,51.90532164,2011,202500,28659,7.07
South East,E07000088,Gosport,1.462236463,52.23722196,2011,140825,23600,5.97
South East,E07000089,Hart,0.621904761,52.27783559,2011,285000,37662,7.57
South East,E07000090,Havant,-3.362799711,51.08681537,2011,185000,25388,7.29
South East,E07000091,New Forest,-2.466855489,53.5785946,2011,245000,27586,8.88
South East,E07000092,Rushmoor,-2.312187462,53.5876146,2011,202000,27120,7.45
South East,E07000093,Test Valley,-2.232642064,53.45090617,2011,237500,26554,8.94
South East,E07000094,Winchester,-2.051716708,53.55197818,2011,298000,33826,8.81
South East,E07000105,Ashford,-2.157977236,53.61640542,2011,180000,26388,6.82
South East,E07000106,Canterbury,-2.370645819,53.48955544,2011,200000,30129,6.64
South East,E07000107,Dartford,-2.128115394,53.39381984,2011,185000,30050,6.16
South East,E07000108,Dover,-2.062595076,53.4778151,2011,155000,26347,5.88
South East,E07000109,Gravesham,-2.354567889,53.41944272,2011,179498,29774,6.03
South East,E07000110,Maidstone,-2.589304302,53.52438255,2011,198000,29744,6.66
South East,E07000111,Sevenoaks,-2.833810968,53.42577631,2011,284000,32694,8.69
South East,E07000112,Folkestone and Hythe,-2.916827009,53.39563214,2011,175000,25958,6.74
South East,E07000113,Swale,-2.722573442,53.45947892,2011,155000,29144,5.32
South East,E07000114,Thanet,-3.015411693,53.56598673,2011,153000,22016,6.95
South East,E07000115,Tonbridge and Malling,-3.092490981,53.36832384,2011,240000,32579,7.37
South East,E07000116,Tunbridge Wells,-1.532427925,53.53591856,2011,240000,33225,7.22
South East,E07000177,Cherwell,-1.095316654,53.54441256,2011,210000,27901,7.53
South East,E07000178,Oxford,-1.286167732,53.40895027,2011,257000,27900,9.21
South East,E07000179,South Oxfordshire,-1.550165536,53.40416175,2011,270000,32042,8.43
South East,E07000180,Vale of White Horse,-1.65780706,55.00783594,2011,244000,30955,7.88
South East,E07000181,West Oxfordshire,-1.517595021,55.02809923,2011,234500,29266,8.01
South East,E07000207,Elmbridge,-1.443736794,54.96345859,2011,385000,39942,9.64
South East,E07000208,Epsom and Ewell,-1.452232617,54.8805122,2011,318750,37866,8.42
South East,E07000209,Guildford,-1.874388371,52.4885375,2011,299950,33586,8.93
South East,E07000210,Mole Valley,-1.520150359,52.41735056,2011,350000,32138,10.89
South East,E07000211,Reigate and Banstead,-2.108118761,52.48313905,2011,275000,34751,7.91
South East,E07000212,Runnymede,-2.008505062,52.51582047,2011,269975,31927,8.46
South East,E07000213,Spelthorne,-1.727800153,52.41279379,2011,249950,33381,7.49
South East,E07000214,Surrey Heath,-1.966464676,52.59915138,2011,273000,33232,8.21
South East,E07000215,Tandridge,-2.120607317,52.58899967,2011,300000,28636,10.48
South East,E07000216,Waverley,-1.854799841,53.84480387,2011,329950,34172,9.66
South East,E07000217,Woking,-1.973799757,53.72119003,2011,250000,29831,8.38
South East,E07000223,Adur,-1.763291967,53.62742237,2011,205000,21328,9.61
South East,E07000224,Arun,-1.50588865,53.8255701,2011,203000,22802,8.9
South East,E07000225,Chichester,-1.411514615,53.66071437,2011,266000,27990,9.5
South East,E07000226,Crawley,-1.683691689,54.93541833,2011,181725,26447,6.87
South East,E07000227,Horsham,-0.09139891,51.51387518,2011,258750,32408,7.98
South East,E07000228,Mid Sussex,0.133734378,51.54382086,2011,250000,29882,8.37
South East,E07000229,Worthing,-0.209097776,51.61599733,2011,195000,26332,7.41
South West,E06000022,Bath and North East Somerset,0.142777628,51.46092515,2011,230000,25937,8.87
South West,E06000023,"Bristol, City of",-0.267642915,51.55940618,2011,171000,25235,6.78
South West,E06000024,North Somerset,0.051075423,51.37209202,2011,185000,28700,6.45
South West,E06000025,South Gloucestershire,-0.15650519,51.54561306,2011,180000,26709,6.74
