label,cx,cy,Type,Value
Rushcliffe,-1.037443181,52.90065362,Owns with a mortgage or loan or shared ownership,17777
Cherwell,-1.27610071,51.95856152,Owns with a mortgage or loan or shared ownership,22661
Oxford,-1.241704101,51.75474979,Owns with a mortgage or loan or shared ownership,11835
South Oxfordshire,-1.071041234,51.63382565,Owns with a mortgage or loan or shared ownership,21131
Vale of White Horse,-1.440861855,51.63425356,Owns with a mortgage or loan or shared ownership,19453
West Oxfordshire,-1.506881793,51.83767299,Owns with a mortgage or loan or shared ownership,15077
Mendip,-2.544350678,51.20284921,Owns with a mortgage or loan or shared ownership,14489
Sedgemoor,-2.953262913,51.18488562,Owns with a mortgage or loan or shared ownership,16170
South Somerset,-2.709901213,50.98792153,Owns with a mortgage or loan or shared ownership,21066
Cannock Chase,-1.980491882,52.71241859,Owns with a mortgage or loan or shared ownership,14735
East Staffordshire,-1.81201615,52.86308344,Owns with a mortgage or loan or shared ownership,15940
Lichfield,-1.804757128,52.68787378,Owns with a mortgage or loan or shared ownership,14973
Newcastle-under-Lyme,-2.317909601,52.99374399,Owns with a mortgage or loan or shared ownership,16066
South Staffordshire,-2.176525036,52.62500287,Owns with a mortgage or loan or shared ownership,14451
Stafford,-2.176191074,52.84820474,Owns with a mortgage or loan or shared ownership,19058
Staffordshire Moorlands,-1.981587362,53.07915595,Owns with a mortgage or loan or shared ownership,12904
Tamworth,-1.676701947,52.6262752,Owns with a mortgage or loan or shared ownership,11303
Babergh,0.914959047,52.05074378,Owns with a mortgage or loan or shared ownership,11387
Ipswich,1.159292255,52.05520695,Owns with a mortgage or loan or shared ownership,16535
Mid Suffolk,1.092631373,52.24679544,Owns with a mortgage or loan or shared ownership,14053
Elmbridge,-0.39198564,51.35716789,Owns with a mortgage or loan or shared ownership,21418
Epsom and Ewell,-0.261601077,51.33938795,Owns with a mortgage or loan or shared ownership,12161
Guildford,-0.562222705,51.24797863,Owns with a mortgage or loan or shared ownership,18446
Mole Valley,-0.32564805,51.2121891,Owns with a mortgage or loan or shared ownership,12433
Reigate and Banstead,-0.19181452,51.25334988,Owns with a mortgage or loan or shared ownership,23343
Runnymede,-0.540821274,51.393303,Owns with a mortgage or loan or shared ownership,12216
Spelthorne,-0.467453203,51.42443395,Owns with a mortgage or loan or shared ownership,15020
Surrey Heath,-0.671211347,51.3433395,Owns with a mortgage or loan or shared ownership,13859
Tandridge,-0.043495129,51.22696644,Owns with a mortgage or loan or shared ownership,13615
Waverley,-0.633469278,51.15013356,Owns with a mortgage or loan or shared ownership,18240
Woking,-0.560499564,51.31452608,Owns with a mortgage or loan or shared ownership,14618
North Warwickshire,-1.627622745,52.54712328,Owns with a mortgage or loan or shared ownership,9117
